year,GDPperCapita,country,continent,LifeExpectancy,pop
1952,-0.6530865583488108,0,2,-2.3753339478880013,-0.19953386690987795
1957,-0.6488846753553072,0,2,-2.2567741662215153,-0.19184870687985064
1962,-0.645612314648481,0,2,-2.127837499680236,-0.1821796171170224
1967,-0.647327618927028,0,2,-1.9711775138465966,-0.17020447334642724
1972,-0.6570912223827506,0,2,-1.8110327532415722,-0.15567944447161358
1977,-0.6524099127788078,0,2,-1.6290500707358622,-0.13870999872547482
1982,-0.6329368925494033,0,2,-1.5193958245962518,-0.15754178373919014
1987,-0.6456838312946215,0,2,-1.4444344472917718,-0.14824967718565338
1992,-0.6662889638564458,0,2,-1.3784560449535317,-0.12516441195448544
1997,-0.6677096302102934,0,2,-1.371563934850124,-0.0694810482920008
2002,-0.6584354781132721,0,2,-1.3432211000428518,-0.040826724916094306
2007,-0.6332850663712369,0,2,-1.2116514925631914,0.021565824224608426
1952,-0.5697129037097675,1,3,-0.32868700493336056,-0.26683675238480264
1957,-0.5350864921715328,1,3,-0.015057275508626213,-0.265010558577905
1962,-0.4974790646351886,1,3,0.41395721856866363,-0.2626395068152467
1967,-0.452088108866001,1,3,0.5223724336784487,-0.2602280222653692
1972,-0.3959491069106647,1,3,0.6362084095437224,-0.25759443535530846
1977,-0.3736668655185041,1,3,0.7322333143552466,-0.25528122009881477
1982,-0.36373473304493176,1,3,0.8476180790078027,-0.25272720785388264
1987,-0.35277006342377415,1,3,0.9699723932031309,-0.2499454019405687
1992,-0.47875180419137947,1,3,0.9375252681095598,-0.24757863750445083
1997,-0.4081635095396739,1,3,1.0435398605990565,-0.24662185698376857
2002,-0.26496514314843433,1,3,1.252703786321576,-0.24586357497055816
2007,-0.12971632810241776,1,3,1.3124870335106862,-0.24499658331713592
1952,-0.4836662506791696,2,0,-1.2698085115256548,-0.19148507563035636
1957,-0.42633566036198867,2,0,-1.0678464536639987,-0.18214406528617216
1962,-0.4733351270448862,2,0,-0.8651100014087019,-0.17526463054217026
1967,-0.402690189792672,2,0,-0.6247379816224367,-0.15868491691259579
1972,-0.30774208087641847,2,0,-0.38382388576062215,-0.13983681178993992
1977,-0.23389272925758628,2,0,-0.113095605743617,-0.11729756350610286
1982,-0.14918642929788076,2,0,0.14663627388368117,-0.09015125777162349
1987,-0.1556607582554246,2,0,0.48977042970614976,-0.05979884213676769
1992,-0.22244626469132597,2,0,0.6403901392693857,-0.031121649878413926
1997,-0.24537185017231694,2,0,0.7494248698940834,-0.004986465350679197
2002,-0.19557305167570177,2,0,0.8920683172028142,0.015886002291996913
2007,-0.10065994299705017,2,0,0.9932816644517347,0.03516553495965925
1952,-0.37492452033988677,3,0,-2.281322468499945,-0.23904547255282296
1957,-0.343737928564989,3,0,-2.1276826208015076,-0.23594289923272285
1962,-0.2989529557099557,3,0,-1.9727263026338795,-0.23344914512674844
1967,-0.17175301778665825,3,0,-1.8190090154960779,-0.22947791233608839
