UserID,Gender,Age,EstimatedSalary,Purchased
15624510,male,15,15000,No_Purchase
15810944,male,35,20000,No_Purchase
15668575,female,26,43000,No_Purchase
15603246,female,27,57000,No_Purchase
15804002,male,19,76000,No_Purchase
15728773,male,27,58000,No_Purchase
15598044,female,27,84000,No_Purchase
15694829,female,32,150000,Yes_Purchase
15600575,male,25,33000,No_Purchase
15727311,female,35,65000,No_Purchase
15570769,female,26,80000,No_Purchase
15606274,female,26,52000,No_Purchase
15746139,male,20,86000,No_Purchase
15704987,male,32,18000,No_Purchase
15628972,male,18,82000,No_Purchase
15697686,male,29,80000,No_Purchase
15733883,male,47,25000,Yes_Purchase
15617482,male,45,26000,Yes_Purchase
15704583,male,46,28000,Yes_Purchase
15621083,female,48,29000,Yes_Purchase
15649487,male,45,22000,Yes_Purchase
15736760,female,47,49000,Yes_Purchase
